Total; tran P X,Total; tran P Y,/w_CLK X,/w_CLK Y,/w_D X,/w_D Y,/A X,/A Y,/B X,/B Y,/C X,/C Y,/D X,/D Y,/Z X,/Z Y
2.47744882726242e-06,0.002933160067658686,2.47744882726242e-06,0,2.47744882726242e-06,0,2.47744882726242e-06,0.03046270094388557,2.47744882726242e-06,2.008908537939585,2.47744882726242e-06,2.99815446550209,2.47744882726242e-06,2.998176196350397,2.47744882726242e-06,1.461348409710484
2.48e-06,0.002933436632326071,2.48e-06,0,2.48e-06,0,2.48e-06,0.03050209533128159,2.48e-06,1.797425538855443,2.48e-06,2.998249067031906,2.48e-06,2.998269429559733,2.48e-06,1.552596226740798
2.480338444689918e-06,0.002933158970088714,2.480338444689918e-06,0,2.480338444689918e-06,0.2030668139509622,2.480338444689918e-06,0.03051018872540859,2.480338444689918e-06,1.768641791993725,2.480338444689918e-06,2.998262665844826,2.480338444689918e-06,2.998283284044117,2.480338444689918e-06,1.564080723334408
2.480503763240958e-06,0.002933138776324633,2.480503763240958e-06,0,2.480503763240958e-06,0.3022579445747245,2.480503763240958e-06,0.03051371629949313,2.480503763240958e-06,1.754555048485506,2.480503763240958e-06,2.998269332371396,2.480503763240958e-06,2.998290065319428,2.480503763240958e-06,1.569677627613989
2.480834400343037e-06,0.002935171786269378,2.480834400343037e-06,0,2.480834400343037e-06,0.5006402058222491,2.480834400343037e-06,0.03051890888155187,2.480834400343037e-06,1.726321305647055,2.480834400343037e-06,2.998282772796185,2.480834400343037e-06,2.998303743143269,2.480834400343037e-06,1.580806493575906
2.481495674547196e-06,0.002955875240396129,2.481495674547196e-06,0,2.481495674547196e-06,0.8974047283172983,2.481495674547196e-06,0.03052393430945672,2.481495674547196e-06,1.669682712520566,2.481495674547196e-06,2.998309961747308,2.481495674547196e-06,2.998331492288153,2.481495674547196e-06,1.602799130150391
2.482221310840214e-06,0.003016443116790452,2.482221310840214e-06,0,2.482221310840214e-06,1.332786504128101,2.482221310840214e-06,0.0305246385002077,2.482221310840214e-06,1.607410717156268,2.482221310840214e-06,2.998340175516353,2.482221310840214e-06,2.998362470058729,2.482221310840214e-06,1.626523855643163
2.482894121646204e-06,0.003099118057731087,2.482894121646204e-06,0,2.482894121646204e-06,1.736472987722395,2.482894121646204e-06,0.03052344555847713,2.482894121646204e-06,1.54971719304335,2.482894121646204e-06,2.998368432534752,2.482894121646204e-06,2.998391587426615,2.482894121646204e-06,1.648157413976852
2.483600104976669e-06,0.003181980670922144,2.483600104976669e-06,0,2.483600104976669e-06,2.160062986001064,2.483600104976669e-06,0.03052340377112745,2.483600104976669e-06,1.489380552554858,2.483600104976669e-06,2.998398227361942,2.483600104976669e-06,2.998422435794893,2.483600104976669e-06,1.670521376526034
2.484300052488334e-06,0.003243009228009392,2.484300052488334e-06,0,2.484300052488334e-06,2.58003149300047,2.484300052488334e-06,0.03052671037333565,2.484300052488334e-06,1.429882424538343,2.484300052488334e-06,2.998427811571608,2.484300052488334e-06,2.998453218783457,2.484300052488334e-06,1.6924077820311
