Total; tran P (inv_lM0=4e-06) X,Total; tran P (inv_lM0=4e-06) Y,Total; tran P (inv_lM0=8e-06) X,Total; tran P (inv_lM0=8e-06) Y,frequency (inv_lM0=4e-06) X,frequency (inv_lM0=4e-06) Y,frequency (inv_lM0=8e-06) X,frequency (inv_lM0=8e-06) Y,/w_out (inv_lM0=4e-06) X,/w_out (inv_lM0=4e-06) Y,/w_out (inv_lM0=8e-06) X,/w_out (inv_lM0=8e-06) Y,/net1 (inv_lM0=4e-06) X,/net1 (inv_lM0=4e-06) Y,/net1 (inv_lM0=8e-06) X,/net1 (inv_lM0=8e-06) Y
3.686321490199776e-07,0.002025270757300432,4.628581666270427e-07,0.001358348969739708,  ,  ,  ,  ,3.686321490199776e-07,0.1422520809988478,4.628581666270427e-07,3.001504467733894,3.686321490199776e-07,3.001942053255033,4.628581666270427e-07,0.03103040850415486
3.712432149848543e-07,0.001996470489407351,4.671779083448324e-07,0.001332978734765376,  ,  ,  ,  ,3.712432149848543e-07,0.1413670993002765,4.671779083448324e-07,3.001424015452491,3.712432149848543e-07,3.001809823453516,4.671779083448324e-07,0.03102137108082545
3.733749423023184e-07,0.001973000732590175,4.712139232177607e-07,0.001325338141366655,  ,  ,  ,  ,3.733749423023184e-07,0.1395843888788524,4.712139232177607e-07,3.001242588608966,3.733749423023184e-07,3.001654674622395,4.712139232177607e-07,0.03101050308321933
3.754865090037759e-07,0.001971181067578805,4.752611799800822e-07,0.001341935236189913,  ,  ,  ,  ,3.754865090037759e-07,0.1379693710174509,4.752611799800822e-07,3.001174430184991,3.754865090037759e-07,3.001566421164843,4.752611799800822e-07,0.03102321340241118
3.776343940543367e-07,0.001996096515051324,4.790227408909564e-07,0.001364128799109008,  ,  ,  ,  ,3.776343940543367e-07,0.1413137706643844,4.790227408909564e-07,3.001467156978365,3.776343940543367e-07,3.001840587158928,4.790227408909564e-07,0.03103910958168377
3.798159940051986e-07,0.00202273373020976,4.836343395396077e-07,0.001378442914837124,  ,  ,  ,  ,3.798159940051986e-07,0.1636246376819807,4.836343395396077e-07,3.002518601385632,3.798159940051986e-07,3.003225009244439,4.836343395396077e-07,0.03103360068538147
3.818345289548162e-07,0.002029039211526984,4.880189773521647e-07,0.001369744345594868,  ,  ,  ,  ,3.818345289548162e-07,0.219049140538559,4.880189773521647e-07,3.005547144887109,3.818345289548162e-07,3.006152215514867,4.880189773521647e-07,0.03105700080988269
3.848027506731616e-07,0.002002486001233819,4.928274225659709e-07,0.001342648232115276,  ,  ,  ,  ,3.848027506731616e-07,0.4216366035802575,4.928274225659709e-07,3.013968063890766,3.848027506731616e-07,3.013897035309645,4.928274225659709e-07,0.03102937532145694
3.869438512072726e-07,0.001976827570608301,4.969530828286265e-07,0.001325411519302919,  ,  ,  ,  ,3.869438512072726e-07,0.6669988601234645,4.969530828286265e-07,3.004903999790204,3.869438512072726e-07,3.014057515596037,4.969530828286265e-07,0.02938947169642843
3.891013489231456e-07,0.001969135889720178,5.007873641095572e-07,0.001330050619423942,  ,  ,  ,  ,3.891013489231456e-07,1.007747539419723,5.007873641095572e-07,2.941468926733463,3.891013489231456e-07,2.986020457410153,5.007873641095572e-07,0.02667584707603722
3.912595145819686e-07,0.001990895636328341,5.049625449532638e-07,0.001354850981852227,  ,  ,  ,  ,3.912595145819686e-07,1.405148438845842,5.049625449532638e-07,2.767293222374757,3.912595145819686e-07,2.883886488432827,5.049625449532638e-07,0.02620697526739078
3.934919083305355e-07,0.002019842687643093,5.091167838426804e-07,0.001375096019716304,  ,  ,  ,  ,3.934919083305355e-07,1.737778724388415,5.091167838426804e-07,2.469577292421483,3.934919083305355e-07,2.665368674898072,5.091167838426804e-07,0.03639485318390186
